,locationalien_typehero_goalprompt,sub_prompt,response_txt,finish_reason
64," Imagine the plot for a new science fiction movie. The location is in outer space. Humans
               are fighting the Nordic aliens. The hero of the movie intends to destroy the alien home planet. 
               Write the movie plot in 50 words or less. ","in outer space, Nordic, destroy the alien home planet","

The human race is in peril as a race of Nordic aliens threaten to take over Earth. In an extraordinary turn of events, a brave hero is able to take his spaceship on a daring mission to the alien's home planet. With a ragtag team of other courageous allies, they set off to put an end to the aliens and save humanity before it's too late.",stop
65," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Grey aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","a space ship, Grey, save the human race","

The humans aboard the space ship are facing extinction due to the merciless Grey aliens. Heroine Sally is a brave and determined engineer who devises a plan to save the crew and the human race. She hijacks the alien command center and uses her ingenuity to make a weapon from it. With the help of her allies, Sally fights the oppressive aliens and risks her own safety to save the human race.",stop
66," Imagine the plot for a new science fiction movie. The location is in outer space. Humans
               are fighting the Reptilian aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","in outer space, Reptilian, save the human race","

The movie follows a brave astronaut's mission to save the human race from an invasion of Reptillian aliens. After crash-landing on an abandoned spacecraft, they must fight their way through a host of dangerous obstacles in order to unlock the ship's secrets and fight off the Reptillian threat. Along the way, the hero discovers courage, hope, and the strength to save the Earth before it's too late.",stop
67," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Shape shifting aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","a space ship, Shape shifting, save the human race","

The human race is in danger of extinction, as a race of shape shifting aliens have infiltrated their space ship. The hero, an ordinary human, must defeat the aliens in order to save his people. With help from a resistance group, he leads a daring mission to battle the aliens, armed with courage and advanced technology. Our hero must battle the evil aliens and protect mankind before it is too late. Will he be triumphant or will he succumb to the alien forces?",stop
68," Imagine the plot for a new science fiction movie. The location is in outer space. Humans
               are fighting the Shape shifting aliens. The hero of the movie intends to save the Earth. 
               Write the movie plot in 50 words or less. ","in outer space, Shape shifting, save the Earth","

The humans discover a powerful alien force in deep space, which are shape shifting and amassing an army. The leader of the humans embarks on a mission to save Earth, recruiting a band of brave individuals and uncovering a long forgotten technology to fight against this alien race. Can the humans eradicate their enemy and save Earth before it is too late?",stop
69," Imagine the plot for a new science fiction movie. The location is the moon. Humans
               are fighting the Reptilian aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","the moon, Reptilian, save the human race","

The movie takes place on the moon, where humans have been pitted against the Reptilian aliens in a fight for survival. The hero of the movie embarks on a mission to find a way to stop the Reptilian forces and save humanity. With unlikely allies and limited resources, the hero must find a way to defeat the aliens before it's too late.",stop
70," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Shape shifting aliens. The hero of the movie intends to save the Earth. 
               Write the movie plot in 50 words or less. ","a space ship, Shape shifting, save the Earth","

On board a space ship, a group of humans join forces with an elite group of warriors in order to battle an alien race of shape shifters. With the fate of Earth in their hands, the crew must face off against their shape-shifting opponents and retrieve an invaluable artifact. Through daring courage, innovative tactics, and strength of will, the hero embarks on a journey to save Earth from destruction.",stop
71," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Shape shifting aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","a space ship, Shape shifting, save the human race","

The crew of a space ship is unaware of the shape shifting aliens aboard, and a brave hero must save the human race by discovering their true identity before it is too late. With deception and chaos gripping the ship, the hero must outwit the aliens and uncover their true intentions before it's too late.",stop
72," Imagine the plot for a new science fiction movie. The location is in outer space. Humans
               are fighting the Shape shifting aliens. The hero of the movie intends to save the Earth. 
               Write the movie plot in 50 words or less. ","in outer space, Shape shifting, save the Earth","

The movie follows the journey of a brave hero as he battles Shape shifting aliens in outer space in an effort to save Earth. With the fate of humanity hanging in the balance, the hero must use his wits, courage, and incredible strength to defeat the aliens and save the day. Will he succeed? Find out when you watch this thrilling science fiction adventure.",stop
73," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Reptilian aliens. The hero of the movie intends to destroy the alien home planet. 
               Write the movie plot in 50 words or less. ","a space ship, Reptilian, destroy the alien home planet","

The humans of Earth launch an attack on the Reptilian aliens by sending their leader, the hero, to infiltrate their home planet. He must find a way to overpower their advanced weaponry and activate a devastating weapon of destruction. As the mission reaches its climax, the hero must make a daring escape and save his people, and the entire galaxy, from the aliens' destruction.",stop
74," Imagine the plot for a new science fiction movie. The location is in outer space. Humans
               are fighting the Nordic aliens. The hero of the movie intends to save the Earth. 
               Write the movie plot in 50 words or less. ","in outer space, Nordic, save the Earth","

The human race faces an impending doom as they fight against the Nordic aliens for control of outer space. The heroic protagonist leads a group of brave individuals to battle the interstellar forces that threaten Earth's very existence. In a thrilling showdown the heroes must use their courage and intelligence to save the future of humanity and restore peace in the universe.",stop
75," Imagine the plot for a new science fiction movie. The location is in outer space. Humans
               are fighting the Grey aliens. The hero of the movie intends to destroy the alien home planet. 
               Write the movie plot in 50 words or less. ","in outer space, Grey, destroy the alien home planet","

The human hero leads a team on a bold mission to save humanity from the menacing Grey aliens. After discovering the location of the Grey's home planet, the crew embarks on a treacherous journey through the depths of outer space. Despite challenges and danger, the hero and his brave comrades must find a way to thwart the aliens' plans of destruction before it’s too late. Will they be able to stop the Grey aliens in time?",stop
76," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Nordic aliens. The hero of the movie intends to save the Earth. 
               Write the movie plot in 50 words or less. ","a space ship, Nordic, save the Earth","

An Earth space vessel, led by brave captain and crew, is on a mission to save humanity from the hostile Nordic aliens. As they face imminent destruction, the captain finds a way to outwit the aliens and save the Earth. With their courage and ingenuity, the crew battles against the aliens in a thrilling race against the clock to save mankind.",stop
77," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Shape shifting aliens. The hero of the movie intends to destroy the alien home planet. 
               Write the movie plot in 50 words or less. ","a space ship, Shape shifting, destroy the alien home planet","

After a destructive battle between humanity and the shape shifting aliens, a group of brave humans must embark on a daring mission to take on the alien forces on their home planet. With a courageous leader at the helm, they must use their wit and courage to outsmart the aliens, eventually finding a way to destroy their home planet and ending the battle once and for all.",stop
78," Imagine the plot for a new science fiction movie. The location is the moon. Humans
               are fighting the Shape shifting aliens. The hero of the movie intends to save the Earth. 
               Write the movie plot in 50 words or less. ","the moon, Shape shifting, save the Earth","

The aliens have come to the moon to acquire its vast resources, threatening the safety of Earth. Our protagonist races against time to discover their motives and stop them before they can gain a powerful weapon to conquer the planet. In a desperate attempt to save humanity, he must battle the shape-shifting aliens and unlock the secrets to the moon in order to save the Earth.",stop
79," Imagine the plot for a new science fiction movie. The location is in outer space. Humans
               are fighting the Shape shifting aliens. The hero of the movie intends to save the Earth. 
               Write the movie plot in 50 words or less. ","in outer space, Shape shifting, save the Earth","

The movie follows the heroic journey of a small group of humans sent to investigate a mysterious planet in outer space. When they arrive, they find themselves in the midst of an alien invasion led by a shape-shifting species. Together, the humans must devise a plan to save their planet from the aliens while battling the shape-shifters using their advanced technology to gain an edge. In the end, the humans must make the ultimate sacrifice to save the Earth.",stop
80," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Shape shifting aliens. The hero of the movie intends to destroy the alien home planet. 
               Write the movie plot in 50 words or less. ","a space ship, Shape shifting, destroy the alien home planet","

The human race is in peril after discovering a race of shape-shifting aliens who intend to take over the universe. Aboard a space-ship, the hero attempts to save the human race by demolishing the alien planet before they can make their attack. With courage and determination, the hero faces off against the alien forces and races against time to save the future of the human race.",stop
81," Imagine the plot for a new science fiction movie. The location is the moon. Humans
               are fighting the Reptilian aliens. The hero of the movie intends to destroy the alien home planet. 
               Write the movie plot in 50 words or less. ","the moon, Reptilian, destroy the alien home planet","

When an alien race of Reptilians invades the moon, humans must unify to fight against them. With help from a brave team of astronauts, the hero discovers a way to destroy the alien home planet and save humanity. With courage, ingenuity, and a last-ditch effort, they set off for the alien world, determined to change the fate of their species.",stop
82," Imagine the plot for a new science fiction movie. The location is in outer space. Humans
               are fighting the Nordic aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","in outer space, Nordic, save the human race","

In the distant future, the human race is threatened by Nordic aliens trying to take over Earth. An unlikely hero must go into outer space to battle them, and bring the humans to safety. With the help of another human and an unexpected ally, the hero must make the difficult journey and ultimately save humanity from destruction.",stop
83," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Nordic aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","a space ship, Nordic, save the human race","

The crew of the space ship is on a mission to save humanity from the Nordic aliens. The hero, a brave space explorer, leads the charge to defeat the aliens. In a nail-biting battle, the humans fight their way to success. With courage and teamwork, they are finally able to save the world and restore peace.",stop
84," Imagine the plot for a new science fiction movie. The location is the moon. Humans
               are fighting the Nordic aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","the moon, Nordic, save the human race","

The year is 2300, and the human race is fighting a fierce war against alien invaders from the Nordic planet. Humanity's last hope is a brave hero who must travel to the moon in a daring mission to find a way to defeat the aliens and save the human race. But will his courage and ingenuity be enough to face the alien menace?",stop
85," Imagine the plot for a new science fiction movie. The location is in outer space. Humans
               are fighting the Nordic aliens. The hero of the movie intends to destroy the alien home planet. 
               Write the movie plot in 50 words or less. ","in outer space, Nordic, destroy the alien home planet","

The Earth is under attack by a ruthless Nordic alien species. In a desperate effort to save humanity, a courageous 
space captain is tasked with finding and destroying the alien home planet. Along the way he is joined by a daring 
crew and faced with unexpected obstacles and adversaries who will stop at nothing to sabotage his mission.",stop
86," Imagine the plot for a new science fiction movie. The location is the moon. Humans
               are fighting the Nordic aliens. The hero of the movie intends to destroy the alien home planet. 
               Write the movie plot in 50 words or less. ","the moon, Nordic, destroy the alien home planet","

The humans have been fighting a war with the Nordic aliens for decades, protecting the solar system from their menace. Now they aim to end the war with a daring mission to the alien home planet on the moon. However, the heroes are met with immense resistance and must use all their courage and weapons to succeeds and ultimately destroy the alien home planet.",stop
87," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Reptilian aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","a space ship, Reptilian, save the human race","

The space ship is under attack by Reptilian aliens. An unlikely hero, a scientist who's been researching the aliens, steps in and risks their life to save humanity. As they battle the aliens, they must unlock the hidden secrets of space to find the ultimate weapon and defeat their enemies. With courage and luck, they will triumph and save the human race.",stop
88," Imagine the plot for a new science fiction movie. The location is in outer space. Humans
               are fighting the Shape shifting aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","in outer space, Shape shifting, save the human race","

The movie follows human astronaut John, who is sent into outer space on a mission to find and eliminate the deadly Shape shifting aliens threatening to destroy the human race. With the help of a group of allies, John embarks on a long journey to find and defeat the aliens and save humanity from destruction. Along the way, he discovers the courage and inner strength that he never knew he had. In the end, he discovers the power to save us all.",stop
89," Imagine the plot for a new science fiction movie. The location is in outer space. Humans
               are fighting the Shape shifting aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","in outer space, Shape shifting, save the human race","

The human race is in peril as the shape shifting aliens have invaded its space colony. Led by a determined hero, the humans fight back against the aliens, hoping to reclaim their freedom before it is too late. As the hero discovers the aliens' hidden weaknesses, a final epic battle will decide their destiny, and the fate of mankind.",stop
90," Imagine the plot for a new science fiction movie. The location is in outer space. Humans
               are fighting the Nordic aliens. The hero of the movie intends to save the Earth. 
               Write the movie plot in 50 words or less. ","in outer space, Nordic, save the Earth","

The humans have detected a massive fleet of Nordic aliens headed to Earth to wipe out the human race. The movie follows the exploits of the heroic protagonist as he embarks on a daring mission into outer space to fight the aliens and save the planet from destruction. He must rely on his courage and skills to outwit the enemy and restore peace to the universe.",stop
91," Imagine the plot for a new science fiction movie. The location is in outer space. Humans
               are fighting the Nordic aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","in outer space, Nordic, save the human race","

The humans of Earth are under attack by a Nordic alien race determined to take over the planet. Following a devastating battle on a distant planet, a brave human hero embarks on a daring mission to team up with unlikely allies to outsmart the aliens and save humanity from extinction. The quick-thinking hero must enlist the help of alien technology to outwit the invaders and help restore peace.",stop
92," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Grey aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","a space ship, Grey, save the human race","

The humans have been fighting the Grey aliens in a desperate attempt to save the human race. On-board their space ship, a brave hero leads the charge against their assailants, hoping to find a way to defeat them and win the war. As they battle against the forces of evil, their hope and bravery will be tested to the limits as they seek victory in the final battle.",stop
93," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Nordic aliens. The hero of the movie intends to destroy the alien home planet. 
               Write the movie plot in 50 words or less. ","a space ship, Nordic, destroy the alien home planet","

The galactic peace is threatened as a new alien species is determined to conquer the universe. An experienced pilot and his rag-tag team of brave heroes set out on a mission aboard a space ship to save humanity. They face terrifying challenges as they battle the Nordic aliens and aim to ultimately destroy their home planet - the only way to restore universal harmony.",stop
94," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Reptilian aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","a space ship, Reptilian, save the human race","

An unknown enemy has infiltrated the human-run space ship. It is soon revealed to be Reptilian aliens, intent on wiping out the human race. The hero of the movie, a brave and resourceful officer, must find a way to save humanity and defeat the aliens. Through bravery, cunning, and sheer force of will, he is able to outwit the aliens and gain control over the ship, ensuring the safety of all humans and restoring harmony to the universe.",stop
95," Imagine the plot for a new science fiction movie. The location is the moon. Humans
               are fighting the Nordic aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","the moon, Nordic, save the human race","

On the moon, humanity is fighting a losing battle against the Nordic aliens, led by their menacing leader. Our hero steps in and with help from some courageous allies, embarks on a mission to uncover the aliens' ultimate weapon and save humanity from extinction. With each step of their journey, the stakes are higher and the future of the human race hangs in the balance.",stop
96," Imagine the plot for a new science fiction movie. The location is in outer space. Humans
               are fighting the Nordic aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","in outer space, Nordic, save the human race","

A team of brave humans led by an unlikely hero journey to a distant corner of the universe to battle ruthless Nordic aliens, determined to take over the human race. Along the way, they face various obstacles and challenges, relying on their courage and strength of spirit to overcome them. In the end, the humans must band together to defeat the invaders and save their species from extinction.",stop
97," Imagine the plot for a new science fiction movie. The location is the moon. Humans
               are fighting the Nordic aliens. The hero of the movie intends to destroy the alien home planet. 
               Write the movie plot in 50 words or less. ","the moon, Nordic, destroy the alien home planet","

When a Nordic alien invades the moon and captures humans to create a new home planet, a brave hero, sent from Earth, must fight to save humanity by destroying the alien's planet and restoring peace to the universe. With support from those who remain free, the hero must battle their way through the alien's army of robots and creatures while unlocking the secrets to save the other captured humans.",stop
98," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Reptilian aliens. The hero of the movie intends to destroy the alien home planet. 
               Write the movie plot in 50 words or less. ","a space ship, Reptilian, destroy the alien home planet","

After generations of fighting, the humans have finally found the home planet of the Reptilian aliens. On board their space ship, the heroes must now find a way to destroy the planet before the aliens can enslave the galaxy. With the help of an unlikely ally, they devise a plan that will put an end to the conflict and save the human race.",stop
99," Imagine the plot for a new science fiction movie. The location is a space ship. Humans
               are fighting the Grey aliens. The hero of the movie intends to save the human race. 
               Write the movie plot in 50 words or less. ","a space ship, Grey, save the human race","

The human race is in danger of annihilation from a powerful alien race known as the Greys. To save humanity, a brave space pilot embarks on a daring mission aboard his space ship. Joined by a ragtag team of scientists, engineers, and warriors, he races against time to protect humanity from the Greys and save the future of our species.",stop
